model,format,role,condition,context,value,v_idx,ground_truth,raw_output,numeric,category,hybrid_consistent
1B,category,role_prompting,category__role_prompting,Creatinine,0.4,0,0,"Based on the patient's serum creatinine level of 0.4 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Creatinine,0.7,1,1,"Based on the patient's serum creatinine level of 0.7 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Creatinine,1.0,2,2,"Based on the patient's serum creatinine level of 1.0 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Creatinine,1.5,3,3,"Based on the patient's serum creatinine level of 1.5 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Creatinine,3.0,4,4,"Based on the patient's serum creatinine level of 3.0 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Creatinine,8.0,5,5,"Based on the patient's serum creatinine level of 8.0 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,BP,60,0,0,"Based on the patient's blood pressure of 60 mmHg, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,BP,90,1,1,"Based on the patient's blood pressure of 90 mmHg, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,BP,120,2,2,"Based on the patient's blood pressure reading of 120 mmHg, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,BP,140,3,3,"Based on the patient's blood pressure reading of 140 mmHg, the clinical risk level is:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,BP,180,4,4,"Based on the patient's blood pressure reading of 180 mmHg, the clinical risk level is:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,BP,220,5,5,"Based on the patient's blood pressure reading of 220 mmHg, the clinical risk level is:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,HR,30,0,0,"Based on the patient's heart rate of 30 bpm, I would classify the clinical risk level as:

Critically Low",,0.0,
1B,category,role_prompting,category__role_prompting,HR,50,1,1,"Based on the patient's heart rate of 50 bpm, I would classify the clinical risk level as:

Critically Low",,0.0,
1B,category,role_prompting,category__role_prompting,HR,72,2,2,"Based on the patient's heart rate of 72 bpm, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,HR,100,3,3,"Based on the patient's heart rate of 100 bpm, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,HR,140,4,4,"Based on the patient's heart rate of 140 bpm, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,role_prompting,category__role_prompting,HR,180,5,5,"Based on the patient's heart rate of 180 bpm, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Temp,34,0,0,"Based on the patient's body temperature of 34 °C, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Temp,36,1,1,"Based on the patient's body temperature of 36 °C, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Temp,37,2,2,"Based on the patient's body temperature of 37 °C, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Temp,38,3,3,"Based on the patient's body temperature of 38 °C, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Temp,39,4,4,"Based on the patient's body temperature of 39 °C, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,role_prompting,category__role_prompting,Temp,41,5,5,"Based on the patient's body temperature of 41 °C, I would classify the clinical risk level as:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,40,0,0,"Based on the given blood glucose level of 40 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,70,1,1,"Based on the given blood glucose level of 70 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,90,2,2,"Based on the given blood glucose level of 90 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,180,3,3,"Based on the given blood glucose level of 180 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,300,4,4,"Based on the given blood glucose level of 300 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,500,5,5,"Based on the given blood glucose level of 500 mg/dL, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,4.0,0,0,"Based on the HbA1c value of 4.0%, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,5.0,1,1,"Based on the given HbA1c value of 5.0%, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,5.6,2,2,"Based on the HbA1c value of 5.6%, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,6.5,3,3,"Based on the HbA1c value of 6.5%, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,9.0,4,4,"Based on the HbA1c value of 9.0%, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,14.0,5,5,"Based on the HbA1c value of 14.0%, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,2,0,0,"Based on the given value, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,5,1,1,"Based on the given value, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,10,2,2,"Based on the given value, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,25,3,3,"Based on the given value, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,60,4,4,"Based on the given value, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,120,5,5,"Based on the given value, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,50,0,0,"Based on the given value, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,100,1,1,"Based on the given value, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,150,2,2,"Based on the given value, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,250,3,3,"Based on the given value, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,500,4,4,"Based on the given value, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,1000,5,5,"Based on the given value, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,0.4,0,0,"Based on the given value, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,0.7,1,1,"Based on the given value, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,1.0,2,2,"Based on the given value, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,1.5,3,3,"Based on the given value, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,3.0,4,4,"Based on the given value, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,8.0,5,5,"Based on the given value, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,60,0,0,"Based on the given blood pressure value of 60 mmHg, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,90,1,1,"Based on the given blood pressure value of 90 mmHg, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,120,2,2,"Based on the given blood pressure value of 120 mmHg, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,140,3,3,"Based on the given blood pressure value of 140 mmHg, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,180,4,4,"Based on the given blood pressure value of 180 mmHg, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,220,5,5,"Based on the given blood pressure value of 220 mmHg, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,30,0,0,"Based on the given information, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,50,1,1,"Based on the given information, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,72,2,2,"Based on the given Heart Rate of 72 bpm, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,100,3,3,"Based on the given information, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,140,4,4,"Based on the given Heart Rate of 140 bpm, the clinical risk level is:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,180,5,5,"Based on the given Heart Rate of 180 bpm, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,34,0,0,"Based on the given temperature, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,36,1,1,"Based on the given temperature, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,37,2,2,"Based on the given temperature of 37 °C, the clinical risk level is:

Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,38,3,3,"Based on the given temperature of 38 °C, the clinical risk level is:

Critically High",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,39,4,4,"Based on the given temperature, I would classify the clinical risk level as:

Mild High",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,41,5,5,"Based on the given temperature, I would classify the clinical risk level as:

Mild High",,3.0,
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,40,0,0,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,70,1,1,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,90,2,2,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,180,3,3,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,300,4,4,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,500,5,5,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,HbA1c,4.0,0,0,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,HbA1c,5.0,1,1,5 - High,5.0,4.0,False
1B,hybrid,zero_shot,hybrid__zero_shot,HbA1c,5.6,2,2,5 - High,5.0,4.0,False
1B,hybrid,zero_shot,hybrid__zero_shot,HbA1c,6.5,3,3,6 - High,,4.0,
1B,hybrid,zero_shot,hybrid__zero_shot,HbA1c,9.0,4,4,9.0 - High,0.0,4.0,False
1B,hybrid,zero_shot,hybrid__zero_shot,HbA1c,14.0,5,5,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Insulin,2,0,0,2 - High,2.0,4.0,False
1B,hybrid,zero_shot,hybrid__zero_shot,Insulin,5,1,1,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Insulin,10,2,2,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Insulin,25,3,3,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Insulin,60,4,4,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Insulin,120,5,5,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,TG,50,0,0,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,TG,100,1,1,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,TG,150,2,2,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,TG,250,3,3,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,TG,500,4,4,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,TG,1000,5,5,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Creatinine,0.4,0,0,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Creatinine,0.7,1,1,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Creatinine,1.0,2,2,1 - High,1.0,4.0,False
1B,hybrid,zero_shot,hybrid__zero_shot,Creatinine,1.5,3,3,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Creatinine,3.0,4,4,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Creatinine,8.0,5,5,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,BP,60,0,0,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,BP,90,1,1,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,BP,120,2,2,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,BP,140,3,3,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,BP,180,4,4,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,BP,220,5,5,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,HR,30,0,0,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,HR,50,1,1,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,HR,72,2,2,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,HR,100,3,3,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,HR,140,4,4,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,HR,180,5,5,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Temp,34,0,0,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Temp,36,1,1,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Temp,37,2,2,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Temp,38,3,3,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Temp,39,4,4,4 - High,4.0,4.0,True
1B,hybrid,zero_shot,hybrid__zero_shot,Temp,41,5,5,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Glucose,40,0,0,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Glucose,70,1,1,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Glucose,90,2,2,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Glucose,180,3,3,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Glucose,300,4,4,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Glucose,500,5,5,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,4.0,0,0,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,5.0,1,1,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,5.6,2,2,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,6.5,3,3,6.5 - High,5.0,4.0,False
1B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,9.0,4,4,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HbA1c,14.0,5,5,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Insulin,2,0,0,2 - High,2.0,4.0,False
1B,hybrid,role_prompting,hybrid__role_prompting,Insulin,5,1,1,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Insulin,10,2,2,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Insulin,25,3,3,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Insulin,60,4,4,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Insulin,120,5,5,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,TG,50,0,0,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,TG,100,1,1,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,TG,150,2,2,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,TG,250,3,3,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,TG,500,4,4,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,TG,1000,5,5,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,0.4,0,0,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,0.7,1,1,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,1.0,2,2,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,1.5,3,3,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,3.0,4,4,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Creatinine,8.0,5,5,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,BP,60,0,0,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,BP,90,1,1,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,BP,120,2,2,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,BP,140,3,3,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,BP,180,4,4,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,BP,220,5,5,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HR,30,0,0,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HR,50,1,1,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HR,72,2,2,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HR,100,3,3,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HR,140,4,4,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,HR,180,5,5,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Temp,34,0,0,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Temp,36,1,1,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Temp,37,2,2,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Temp,38,3,3,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Temp,39,4,4,4 - High,4.0,4.0,True
1B,hybrid,role_prompting,hybrid__role_prompting,Temp,41,5,5,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,40,0,0,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,70,1,1,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,90,2,2,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,180,3,3,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,300,4,4,3 - High,3.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Glucose,500,5,5,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,4.0,0,0,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,5.0,1,1,5 - High,5.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,5.6,2,2,5 - High,5.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,6.5,3,3,6 - High,,4.0,
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,9.0,4,4,9 - High,,4.0,
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HbA1c,14.0,5,5,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,2,0,0,2 - High,2.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,5,1,1,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,10,2,2,2 - High,2.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,25,3,3,2 - High,2.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,60,4,4,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Insulin,120,5,5,2 - High,2.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,50,0,0,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,100,1,1,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,150,2,2,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,250,3,3,2 - High,2.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,500,4,4,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,TG,1000,5,5,1 - High,1.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,0.4,0,0,0 - High,0.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,0.7,1,1,0 - High,0.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,1.0,2,2,1 - High,1.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,1.5,3,3,1 - High,1.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,3.0,4,4,3 - High,3.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Creatinine,8.0,5,5,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,60,0,0,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,90,1,1,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,120,2,2,120 - High,,4.0,
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,140,3,3,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,180,4,4,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,BP,220,5,5,220 - High,,4.0,
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,30,0,0,3 - High,3.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,50,1,1,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,72,2,2,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,100,3,3,2 - High,2.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,140,4,4,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,HR,180,5,5,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,34,0,0,3 - High,3.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,36,1,1,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,37,2,2,3 - High,3.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,38,3,3,4 - High,4.0,4.0,True
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,39,4,4,3 - High,3.0,4.0,False
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,Temp,41,5,5,4 - High,4.0,4.0,True
3B,numeric,zero_shot,numeric__zero_shot,Glucose,40,0,0,3,3.0,,
3B,numeric,zero_shot,numeric__zero_shot,Glucose,70,1,1,2,2.0,,
3B,numeric,zero_shot,numeric__zero_shot,Glucose,90,2,2,2,2.0,,
3B,numeric,zero_shot,numeric__zero_shot,Glucose,180,3,3,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,Glucose,300,4,4,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,Glucose,500,5,5,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,HbA1c,4.0,0,0,2,2.0,,
3B,numeric,zero_shot,numeric__zero_shot,HbA1c,5.0,1,1,2,2.0,,
3B,numeric,zero_shot,numeric__zero_shot,HbA1c,5.6,2,2,3,3.0,,
3B,numeric,zero_shot,numeric__zero_shot,HbA1c,6.5,3,3,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,HbA1c,9.0,4,4,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,HbA1c,14.0,5,5,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,Insulin,2,0,0,2,2.0,,
3B,numeric,zero_shot,numeric__zero_shot,Insulin,5,1,1,2,2.0,,
3B,numeric,zero_shot,numeric__zero_shot,Insulin,10,2,2,2,2.0,,
3B,numeric,zero_shot,numeric__zero_shot,Insulin,25,3,3,3,3.0,,
3B,numeric,zero_shot,numeric__zero_shot,Insulin,60,4,4,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,Insulin,120,5,5,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,TG,50,0,0,3,3.0,,
3B,numeric,zero_shot,numeric__zero_shot,TG,100,1,1,3,3.0,,
3B,numeric,zero_shot,numeric__zero_shot,TG,150,2,2,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,TG,250,3,3,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,TG,500,4,4,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,TG,1000,5,5,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,Creatinine,0.4,0,0,2,2.0,,
3B,numeric,zero_shot,numeric__zero_shot,Creatinine,0.7,1,1,2,2.0,,
3B,numeric,zero_shot,numeric__zero_shot,Creatinine,1.0,2,2,3,3.0,,
3B,numeric,zero_shot,numeric__zero_shot,Creatinine,1.5,3,3,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,Creatinine,3.0,4,4,4,4.0,,
3B,numeric,zero_shot,numeric__zero_shot,Creatinine,8.0,5,5,4,4.0,,
