model,format,role,condition,context,value,v_idx,ground_truth,gt_label,raw_output,numeric,category,hybrid_consistent
1B,category,zero_shot,category__zero_shot,Creatinine,0.7,1,1,Low Normal,"Based on the patient's serum creatinine level of 0.7 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,zero_shot,category__zero_shot,Creatinine,1.0,2,2,Normal,"Based on the patient's serum creatinine level of 1.0 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,zero_shot,category__zero_shot,Creatinine,1.5,3,3,Mild Elevation,"Based on the patient's serum creatinine level of 1.5 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,zero_shot,category__zero_shot,Creatinine,3.0,4,4,Renal Impairment,"Based on the patient's serum creatinine level of 3.0 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,zero_shot,category__zero_shot,Creatinine,8.0,5,5,Kidney Failure,"Based on the patient's serum creatinine level of 8.0 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,zero_shot,category__zero_shot,BP,60,0,0,Shock,"Based on the patient's blood pressure of 60 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,zero_shot,category__zero_shot,BP,90,1,1,Low Normal,"Based on the patient's blood pressure of 90 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,zero_shot,category__zero_shot,BP,120,2,2,Normal,"Based on the patient's blood pressure of 120 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,zero_shot,category__zero_shot,BP,140,3,3,Elevated,"Based on the patient's blood pressure of 140 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,zero_shot,category__zero_shot,BP,180,4,4,Hypertension,"Based on the patient's blood pressure of 180 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,zero_shot,category__zero_shot,BP,220,5,5,Crisis,"Based on the patient's blood pressure of 220 mmHg, the clinical status is:

Elevated",,3.0,
1B,category,zero_shot,category__zero_shot,HR,30,0,0,Severe Bradycardia,"Based on the patient's Heart Rate of 30 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,zero_shot,category__zero_shot,HR,50,1,1,Low Normal,"Based on the patient's Heart Rate of 50 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,zero_shot,category__zero_shot,HR,72,2,2,Normal,"Based on the patient's heart rate of 72 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,zero_shot,category__zero_shot,HR,100,3,3,Elevated,"Based on the patient's Heart Rate of 100 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,zero_shot,category__zero_shot,HR,140,4,4,Tachycardia,"Based on the patient's Heart Rate of 140 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,zero_shot,category__zero_shot,HR,180,5,5,Severe Tachycardia,"Based on the patient's heart rate of 180 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,zero_shot,category__zero_shot,Temp,34,0,0,Hypothermia,"Based on the patient's body temperature of 34 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,zero_shot,category__zero_shot,Temp,36,1,1,Low Normal,"Based on the patient's body temperature of 36 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,zero_shot,category__zero_shot,Temp,37,2,2,Normal,"Based on the patient's body temperature of 37 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,zero_shot,category__zero_shot,Temp,38,3,3,Mild Fever,"Based on the patient's body temperature of 38 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,zero_shot,category__zero_shot,Temp,39,4,4,Fever,"Based on the patient's body temperature of 39 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,zero_shot,category__zero_shot,Temp,41,5,5,High Fever,"Based on the patient's body temperature of 41 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,role_prompting,category__role_prompting,Glucose,40,0,0,Hypoglycemic Crisis,"Based on the patient's blood glucose level of 40 mg/dL, the clinical status can be classified as:

Severe Hyperglycemia",,4.0,
1B,category,role_prompting,category__role_prompting,Glucose,70,1,1,Low Normal,"Based on the patient's blood glucose level of 70 mg/dL, the clinical status can be classified as:

Severe Hyperglycemia",,4.0,
1B,category,role_prompting,category__role_prompting,Glucose,90,2,2,Normal,"Based on the patient's blood glucose level of 90 mg/dL, the clinical status can be classified as:

Severe Hyperglycemia",,4.0,
1B,category,role_prompting,category__role_prompting,Glucose,180,3,3,Hyperglycemia,"Based on the patient's blood glucose level of 180 mg/dL, the clinical status can be classified as:

Severe Hyperglycemia",,4.0,
1B,category,role_prompting,category__role_prompting,Glucose,300,4,4,Severe Hyperglycemia,"Based on the patient's blood glucose level of 300 mg/dL, the clinical status can be classified as:

Severe Hyperglycemia",,4.0,
1B,category,role_prompting,category__role_prompting,Glucose,500,5,5,DKA Risk,"Based on the patient's blood glucose level of 500 mg/dL, the clinical status can be classified as:

Severe Hyperglycemia",,4.0,
1B,category,role_prompting,category__role_prompting,HbA1c,4.0,0,0,Critically Low,"Based on the HbA1c value of 4.0%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,role_prompting,category__role_prompting,HbA1c,5.0,1,1,Low Normal,"Based on the HbA1c value of 5.0%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,role_prompting,category__role_prompting,HbA1c,5.6,2,2,Normal,"Based on the HbA1c value of 5.6%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,role_prompting,category__role_prompting,HbA1c,6.5,3,3,Pre-diabetes,"Based on the HbA1c value of 6.5%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,role_prompting,category__role_prompting,HbA1c,9.0,4,4,Diabetes,"Based on the HbA1c value of 9.0%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,role_prompting,category__role_prompting,HbA1c,14.0,5,5,Severe Diabetes,"Based on the HbA1c value of 14.0%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,role_prompting,category__role_prompting,Insulin,2,0,0,Critically Low,"Based on the given fasting insulin level of 2 uU/mL, the clinical status can be classified as:

Critically Low",,0.0,
1B,category,role_prompting,category__role_prompting,Insulin,5,1,1,Low Normal,"Based on the given fasting insulin level of 5 uU/mL, the clinical status can be classified as:

Critically Low",,0.0,
1B,category,role_prompting,category__role_prompting,Insulin,10,2,2,Normal,"Based on the given fasting insulin level of 10 uU/mL, the clinical status can be classified as:

Critically Low",,0.0,
1B,category,role_prompting,category__role_prompting,Insulin,25,3,3,Insulin Resistance,"Based on the fasting insulin level of 25 uU/mL, the clinical status can be classified as:

Critically Low",,0.0,
1B,category,role_prompting,category__role_prompting,Insulin,60,4,4,Severe Resistance,"Based on the given fasting insulin level of 60 uU/mL, the clinical status can be classified as:

Critically Low",,0.0,
1B,category,role_prompting,category__role_prompting,Insulin,120,5,5,Crisis,"Based on the given fasting insulin level of 120 uU/mL, the clinical status can be classified as:

Critically Low",,0.0,
1B,category,role_prompting,category__role_prompting,TG,50,0,0,Very Low,"Based on the patient's triglyceride level of 50 mg/dL, the clinical status can be classified as:

Very Low",,0.0,
1B,category,role_prompting,category__role_prompting,TG,100,1,1,Normal Low,"Based on the patient's triglyceride level of 100 mg/dL, the clinical status can be classified as:

Very Low",,0.0,
1B,category,role_prompting,category__role_prompting,TG,150,2,2,Normal,"Based on the patient's triglyceride level of 150 mg/dL, the clinical status can be classified as:

Very Low",,0.0,
1B,category,role_prompting,category__role_prompting,TG,250,3,3,Borderline High,"Based on the patient's triglyceride level of 250 mg/dL, the clinical status can be classified as:

Very High",,5.0,
1B,category,role_prompting,category__role_prompting,TG,500,4,4,High,"Based on the patient's triglyceride level of 500 mg/dL, the clinical status can be classified as:

Very High",,5.0,
1B,category,role_prompting,category__role_prompting,TG,1000,5,5,Very High,"Based on the patient's triglyceride level of 1000 mg/dL, the clinical status can be classified as:

Very High",,5.0,
1B,category,role_prompting,category__role_prompting,Creatinine,0.4,0,0,Very Low,"Based on the patient's serum creatinine level of 0.4 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,role_prompting,category__role_prompting,Creatinine,0.7,1,1,Low Normal,"Based on the patient's serum creatinine level of 0.7 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,role_prompting,category__role_prompting,Creatinine,1.0,2,2,Normal,"Based on the patient's serum creatinine level of 1.0 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,role_prompting,category__role_prompting,Creatinine,1.5,3,3,Mild Elevation,"Based on the patient's serum creatinine level of 1.5 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,role_prompting,category__role_prompting,Creatinine,3.0,4,4,Renal Impairment,"Based on the patient's serum creatinine level of 3.0 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,role_prompting,category__role_prompting,Creatinine,8.0,5,5,Kidney Failure,"Based on the patient's serum creatinine level of 8.0 mg/dL, the clinical status can be classified as:

Mild Elevation",,3.0,
1B,category,role_prompting,category__role_prompting,BP,60,0,0,Shock,"Based on the patient's blood pressure of 60 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,role_prompting,category__role_prompting,BP,90,1,1,Low Normal,"Based on the patient's blood pressure of 90 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,role_prompting,category__role_prompting,BP,120,2,2,Normal,"Based on the patient's blood pressure of 120 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,role_prompting,category__role_prompting,BP,140,3,3,Elevated,"Based on the patient's blood pressure reading of 140 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,role_prompting,category__role_prompting,BP,180,4,4,Hypertension,"Based on the patient's blood pressure reading of 180 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,role_prompting,category__role_prompting,BP,220,5,5,Crisis,"Based on the patient's blood pressure reading of 220 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,role_prompting,category__role_prompting,HR,30,0,0,Severe Bradycardia,"Based on the patient's heart rate of 30 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,role_prompting,category__role_prompting,HR,50,1,1,Low Normal,"Based on the patient's heart rate of 50 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,role_prompting,category__role_prompting,HR,72,2,2,Normal,"Based on the patient's heart rate of 72 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,role_prompting,category__role_prompting,HR,100,3,3,Elevated,"Based on the patient's heart rate of 100 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,role_prompting,category__role_prompting,HR,140,4,4,Tachycardia,"Based on the patient's heart rate of 140 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,role_prompting,category__role_prompting,HR,180,5,5,Severe Tachycardia,"Based on the patient's heart rate of 180 bpm, the clinical status can be classified as:

Severe Bradycardia",,0.0,
1B,category,role_prompting,category__role_prompting,Temp,34,0,0,Hypothermia,"Based on the patient's body temperature of 34 °C, I would classify the clinical status as:

Mild Fever",,3.0,
1B,category,role_prompting,category__role_prompting,Temp,36,1,1,Low Normal,"Based on the patient's body temperature of 36 °C, I would classify the clinical status as:

Mild Fever",,3.0,
1B,category,role_prompting,category__role_prompting,Temp,37,2,2,Normal,"Based on the patient's body temperature of 37 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,role_prompting,category__role_prompting,Temp,38,3,3,Mild Fever,"Based on the patient's body temperature of 38 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,role_prompting,category__role_prompting,Temp,39,4,4,Fever,"Based on the patient's body temperature of 39 °C, the clinical status can be classified as:

Fever",,4.0,
1B,category,role_prompting,category__role_prompting,Temp,41,5,5,High Fever,"Based on the patient's body temperature of 41 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,40,0,0,Hypoglycemic Crisis,"Based on the given blood glucose level of 40 mg/dL, the clinical status can be classified as:

Hypoglycemic Crisis",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,70,1,1,Low Normal,"Based on the given blood glucose level of 70 mg/dL, the clinical status can be classified as:

Hypoglycemic Crisis",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,90,2,2,Normal,"Based on the given blood glucose level of 90 mg/dL, the clinical status can be classified as:

Hypoglycemic Crisis",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,180,3,3,Hyperglycemia,"Based on the given blood glucose level of 180 mg/dL, the clinical status can be classified as:

Hypoglycemic Crisis",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,300,4,4,Severe Hyperglycemia,"Based on the given blood glucose level of 300 mg/dL, the clinical status can be classified as:

Hypoglycemic Crisis",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,Glucose,500,5,5,DKA Risk,"Based on the given blood glucose level of 500 mg/dL, the clinical status can be classified as:

Hypoglycemic Crisis",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,4.0,0,0,Critically Low,"Based on the given HbA1c value of 4.0%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,5.0,1,1,Low Normal,"Based on the given HbA1c value of 5.0%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,5.6,2,2,Normal,"Based on the given HbA1c value of 5.6%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,6.5,3,3,Pre-diabetes,"Based on the given HbA1c value of 6.5%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,9.0,4,4,Diabetes,"Based on the HbA1c value of 9.0%, the clinical status is:

Severe Diabetes",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,HbA1c,14.0,5,5,Severe Diabetes,"Based on the given HbA1c value of 14.0%, the clinical status can be classified as:

Severe Diabetes",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,2,0,0,Critically Low,"Based on the given value, the clinical status is:

Critically Low",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,5,1,1,Low Normal,"Based on the given value, the clinical status is:

Critically Low",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,10,2,2,Normal,"Based on the given value, the clinical status is:

Critically Low",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,25,3,3,Insulin Resistance,"Based on the given value, the clinical status is:

Insulin Resistance",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,60,4,4,Severe Resistance,"Based on the given value, the clinical status is:

Critically Low",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,Insulin,120,5,5,Crisis,"Based on the given value, the clinical status is:

Insulin Resistance",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,50,0,0,Very Low,"Based on the given value, the clinical status is:

 Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,100,1,1,Normal Low,"Based on the given value, the clinical status is:

Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,150,2,2,Normal,"Based on the given value, the clinical status is:

Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,250,3,3,Borderline High,"Based on the given value, the clinical status is:

Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,500,4,4,High,"Based on the given value, the clinical status is:

 Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,TG,1000,5,5,Very High,"Based on the given value, the clinical status is:

Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,0.4,0,0,Very Low,"Based on the given value, the clinical status is:

Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,0.7,1,1,Low Normal,"Based on the given value, the clinical status is:

Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,1.0,2,2,Normal,"Based on the given value, the clinical status is:

Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,1.5,3,3,Mild Elevation,"Based on the given value, the clinical status is:

Kidney Failure",,5.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,3.0,4,4,Renal Impairment,"Based on the given value, the clinical status is:

Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,Creatinine,8.0,5,5,Kidney Failure,"Based on the given value, the clinical status is:

Normal",,2.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,60,0,0,Shock,"Based on the given blood pressure value of 60 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,90,1,1,Low Normal,"Based on the given blood pressure value of 90 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,120,2,2,Normal,"Based on the given blood pressure value of 120 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,140,3,3,Elevated,"Based on the given blood pressure value of 140 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,180,4,4,Hypertension,"Based on the given blood pressure value of 180 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,BP,220,5,5,Crisis,"Based on the given blood pressure value of 220 mmHg, the clinical status can be classified as:

Elevated",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,30,0,0,Severe Bradycardia,"Based on the given information, the clinical status is:

Severe Bradycardia",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,50,1,1,Low Normal,"Based on the given information, the clinical status is:

Severe Bradycardia",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,72,2,2,Normal,"Based on the given information, the clinical status of the patient is:

Severe Bradycardia",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,100,3,3,Elevated,"Based on the given information, the clinical status is:

Severe Bradycardia",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,140,4,4,Tachycardia,"Based on the given information, the clinical status is:

Severe Bradycardia",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,HR,180,5,5,Severe Tachycardia,"Based on the given information, the clinical status is:

Severe Bradycardia",,0.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,34,0,0,Hypothermia,"Based on the given temperature of 34 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,36,1,1,Low Normal,"Based on the given temperature of 36 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,37,2,2,Normal,"Based on the given temperature of 37 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,38,3,3,Mild Fever,"Based on the given temperature of 38 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,39,4,4,Fever,"Based on the given temperature of 39 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,instruction_constrained,category__instruction_constrained,Temp,41,5,5,High Fever,"Based on the given temperature of 41 °C, the clinical status can be classified as:

Mild Fever",,3.0,
1B,category,forced_answer,category__forced_answer,Glucose,40,0,0,Hypoglycemic Crisis,"Based on the patient's blood glucose level of 40 mg/dL, I would classify the clinical status as:

Hypoglycemic Crisis",,0.0,
1B,category,forced_answer,category__forced_answer,Glucose,70,1,1,Low Normal,"Based on the patient's blood glucose level of 70 mg/dL, I would classify the clinical status as:

Hypoglycemic Crisis",,0.0,
1B,category,forced_answer,category__forced_answer,Glucose,90,2,2,Normal,"Based on the patient's blood glucose level of 90 mg/dL, I would classify the clinical status as:

Hypoglycemic Crisis",,0.0,
1B,category,forced_answer,category__forced_answer,Glucose,180,3,3,Hyperglycemia,"Based on the patient's blood glucose level of 180 mg/dL, I would classify the clinical status as:

Hypoglycemic Crisis",,0.0,
1B,category,forced_answer,category__forced_answer,Glucose,300,4,4,Severe Hyperglycemia,"Based on the patient's Blood Glucose level of 300 mg/dL, I would classify the clinical status as:

Hypoglycemic Crisis",,0.0,
1B,category,forced_answer,category__forced_answer,Glucose,500,5,5,DKA Risk,"Based on the patient's blood glucose level of 500 mg/dL, I would classify the clinical status as:

Hypoglycemic Crisis",,0.0,
1B,category,forced_answer,category__forced_answer,HbA1c,4.0,0,0,Critically Low,"Based on the HbA1c value of 4.0%, the patient's clinical status is:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,HbA1c,5.0,1,1,Low Normal,"Based on the HbA1c value of 5.0%, the patient's clinical status is:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,HbA1c,5.6,2,2,Normal,"Based on the HbA1c value of 5.6%, the clinical status is:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,HbA1c,6.5,3,3,Pre-diabetes,"Based on the HbA1c value of 6.5%, the patient's clinical status is:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,HbA1c,9.0,4,4,Diabetes,"Based on the HbA1c value of 9.0%, the patient's clinical status is:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,HbA1c,14.0,5,5,Severe Diabetes,"Based on the HbA1c value of 14.0%, the patient's clinical status is:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,Insulin,2,0,0,Critically Low,"Based on the given value, I would classify the clinical status as:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,Insulin,5,1,1,Low Normal,"Based on the given value, I would classify the clinical status as:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,Insulin,10,2,2,Normal,"Based on the given value, I would classify the clinical status as:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,Insulin,25,3,3,Insulin Resistance,"Based on the given value, I would classify the clinical status as:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,Insulin,60,4,4,Severe Resistance,"Based on the given value, I would classify the clinical status as:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,Insulin,120,5,5,Crisis,"Based on the given value, I would classify the clinical status as:

Critically Low",,0.0,
1B,category,forced_answer,category__forced_answer,TG,50,0,0,Very Low,"Based on the patient's triglycerides level of 50 mg/dL, the clinical status can be classified as:

Normal",,2.0,
1B,category,forced_answer,category__forced_answer,TG,100,1,1,Normal Low,"Based on the patient's triglycerides level of 100 mg/dL, the clinical status can be classified as:

Normal",,2.0,
1B,category,forced_answer,category__forced_answer,TG,150,2,2,Normal,"Based on the patient's triglycerides level of 150 mg/dL, the clinical status can be classified as:

Normal",,2.0,
1B,category,forced_answer,category__forced_answer,TG,250,3,3,Borderline High,"Based on the patient's triglycerides level of 250 mg/dL, the clinical status can be classified as:

Very Low",,0.0,
1B,category,forced_answer,category__forced_answer,TG,500,4,4,High,"Based on the patient's triglycerides level of 500 mg/dL, the clinical status can be classified as:

Very Low",,0.0,
1B,category,forced_answer,category__forced_answer,TG,1000,5,5,Very High,"Based on the patient's triglycerides level of 1000 mg/dL, the clinical status can be classified as:

Very High",,5.0,
1B,category,forced_answer,category__forced_answer,Creatinine,0.4,0,0,Very Low,"Based on the given value, I would classify the clinical status as:

Mild Elevation",,3.0,
1B,category,forced_answer,category__forced_answer,Creatinine,0.7,1,1,Low Normal,"Based on the given value, I would classify the clinical status as:

Mild Elevation",,3.0,
1B,category,forced_answer,category__forced_answer,Creatinine,1.0,2,2,Normal,"Based on the given value, I would classify the clinical status as:

Very Low / Normal",,0.0,
1B,category,forced_answer,category__forced_answer,Creatinine,1.5,3,3,Mild Elevation,"Based on the given value, I would classify the clinical status as:

Mild Elevation",,3.0,
1B,category,forced_answer,category__forced_answer,Creatinine,3.0,4,4,Renal Impairment,"Based on the given value, I would classify the clinical status as:

Very Low / Normal",,0.0,
1B,category,forced_answer,category__forced_answer,Creatinine,8.0,5,5,Kidney Failure,"Based on the given value, I would classify the clinical status as:

Very Low",,0.0,
1B,category,forced_answer,category__forced_answer,BP,60,0,0,Shock,"Based on the given numerical value (60 mmHg), I would classify the clinical status as:

Elevated",,3.0,
1B,category,forced_answer,category__forced_answer,BP,90,1,1,Low Normal,"Based on the given numerical value (90 mmHg), I would classify the clinical status as:

Elevated",,3.0,
1B,category,forced_answer,category__forced_answer,BP,120,2,2,Normal,"Based on the given blood pressure value of 120 mmHg, I would classify the clinical status as:

Elevated",,3.0,
1B,category,forced_answer,category__forced_answer,BP,140,3,3,Elevated,"Based on the given blood pressure value of 140 mmHg, I would classify the clinical status as:

Elevated",,3.0,
1B,category,forced_answer,category__forced_answer,BP,180,4,4,Hypertension,"Based on the patient's blood pressure of 180 mmHg, the clinical status is:

Elevated",,3.0,
1B,category,forced_answer,category__forced_answer,BP,220,5,5,Crisis,"Based on the patient's blood pressure reading of 220 mmHg, the clinical status is:

Elevated",,3.0,
1B,category,forced_answer,category__forced_answer,HR,30,0,0,Severe Bradycardia,"Based on the given information, I would classify the clinical status as:

Severe Bradycardia",,0.0,
1B,category,forced_answer,category__forced_answer,HR,50,1,1,Low Normal,"Based on the given information, I would classify the clinical status as:

Severe Bradycardia",,0.0,
1B,category,forced_answer,category__forced_answer,HR,72,2,2,Normal,"Based on the given information, I would classify the clinical status as:

Severe Bradycardia",,0.0,
1B,category,forced_answer,category__forced_answer,HR,100,3,3,Elevated,"Based on the given information, I would classify the clinical status as:

Severe Bradycardia",,0.0,
1B,category,forced_answer,category__forced_answer,HR,140,4,4,Tachycardia,"Based on the given information, I would classify the clinical status as:

Severe Bradycardia",,0.0,
1B,category,forced_answer,category__forced_answer,HR,180,5,5,Severe Tachycardia,"Based on the patient's Heart Rate of 180 bpm, the clinical status is:

Severe Bradycardia",,0.0,
1B,category,forced_answer,category__forced_answer,Temp,34,0,0,Hypothermia,"Based on the patient's body temperature of 34 °C, I would classify the clinical status as:

Mild Fever",,3.0,
1B,category,forced_answer,category__forced_answer,Temp,36,1,1,Low Normal,"Based on the patient's body temperature of 36 °C, I would classify the clinical status as:

Mild Fever",,3.0,
1B,category,forced_answer,category__forced_answer,Temp,37,2,2,Normal,"Based on the patient's body temperature of 37 °C, I would classify the clinical status as:

Mild Fever",,3.0,
1B,category,forced_answer,category__forced_answer,Temp,38,3,3,Mild Fever,"Based on the patient's body temperature of 38 °C, I would classify the clinical status as:

Mild Fever",,3.0,
1B,category,forced_answer,category__forced_answer,Temp,39,4,4,Fever,"Based on the patient's body temperature of 39 °C, I would classify the clinical status as:

Mild Fever",,3.0,
1B,category,forced_answer,category__forced_answer,Temp,41,5,5,High Fever,"Based on the patient's body temperature of 41 °C, I would classify the clinical status as:

Mild Fever",,3.0,
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,40,0,0,Hypoglycemic Crisis,4 - High,4.0,,
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,70,1,1,Low Normal,4 - High,4.0,,
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,90,2,2,Normal,4 - High,4.0,,
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,180,3,3,Hyperglycemia,4 - High,4.0,,
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,300,4,4,Severe Hyperglycemia,4 - High,4.0,,
1B,hybrid,zero_shot,hybrid__zero_shot,Glucose,500,5,5,DKA Risk,4 - High,4.0,,
1B,hybrid,zero_shot,hybrid__zero_shot,HbA1c,4.0,0,0,Critically Low,4 - High,4.0,,
1B,hybrid,zero_shot,hybrid__zero_shot,HbA1c,5.0,1,1,Low Normal,4 - High,4.0,,
1B,hybrid,zero_shot,hybrid__zero_shot,HbA1c,5.6,2,2,Normal,4 - High,4.0,,
1B,hybrid,zero_shot,hybrid__zero_shot,HbA1c,6.5,3,3,Pre-diabetes,4 - High,4.0,,
